stage,epoch,learning_rate,optimizer_phase,scheduler_phase_epoch,train_loss,validation_sbp_mae,validation_dbp_mae,validation_mean_mae,selected_checkpoint,best_epoch_so_far,epochs_without_improvement,early_stopping_triggered,stop_reason
contrastive,1,0.00012000,contrastive,1,0.80876076,,,,False,,,False,
contrastive,2,0.00024000,contrastive,2,0.66427938,,,,False,,,False,
contrastive,3,0.00036000,contrastive,3,0.55049090,,,,False,,,False,
contrastive,4,0.00048000,contrastive,4,0.46706635,,,,False,,,False,
contrastive,5,0.00060000,contrastive,5,0.39604381,,,,False,,,False,
supervised,1,0.00012000,supervised,1,1.29876848,6.63670712,4.75555486,5.69613099,False,1.00000000,0.00000000,False,
supervised,2,0.00024000,supervised,2,1.23173262,6.55364781,4.69520072,5.62442427,False,2.00000000,0.00000000,False,
supervised,3,0.00036000,supervised,3,1.16025009,6.47021757,4.63674192,5.55347975,False,3.00000000,0.00000000,False,
supervised,4,0.00048000,supervised,4,1.08520386,6.39307944,4.58464726,5.48886335,False,4.00000000,0.00000000,False,
supervised,5,0.00060000,supervised,5,1.01366540,6.40693057,4.59956387,5.50324722,False,4.00000000,1.00000000,False,
supervised,6,0.00059974,supervised,6,0.95725505,6.30753544,4.53270737,5.42012141,False,6.00000000,0.00000000,False,
supervised,7,0.00059895,supervised,7,0.90954963,6.21148218,4.46757160,5.33952689,False,7.00000000,0.00000000,False,
supervised,8,0.00059763,supervised,8,0.85843113,6.15286812,4.42804297,5.29045555,False,8.00000000,0.00000000,False,
supervised,9,0.00059580,supervised,9,0.81032498,6.08658718,4.38092755,5.23375736,False,9.00000000,0.00000000,False,
supervised,10,0.00059344,supervised,10,0.76352959,6.01240464,4.32589494,5.16914979,False,10.00000000,0.00000000,False,
supervised,11,0.00059057,supervised,11,0.73106304,5.93450329,4.26621333,5.10035831,False,11.00000000,0.00000000,False,
supervised,12,0.00058720,supervised,12,0.69131715,5.94062502,4.26601537,5.10332019,False,11.00000000,1.00000000,False,
supervised,13,0.00058331,supervised,13,0.65482930,5.83341048,4.18322882,5.00831965,False,13.00000000,0.00000000,False,
supervised,14,0.00057893,supervised,14,0.62046050,5.73653128,4.10834635,4.92243881,False,14.00000000,0.00000000,False,
supervised,15,0.00057406,supervised,15,0.58527049,5.68762753,4.06948551,4.87855652,False,15.00000000,0.00000000,False,
supervised,16,0.00056871,supervised,16,0.57439029,5.63959413,4.03316345,4.83637879,False,16.00000000,0.00000000,False,
supervised,17,0.00056289,supervised,17,0.52557933,5.58542150,3.99458451,4.79000300,False,17.00000000,0.00000000,False,
supervised,18,0.00055661,supervised,18,0.51517649,5.52094128,3.95061197,4.73577662,False,18.00000000,0.00000000,False,
supervised,19,0.00054988,supervised,19,0.48821697,5.52806910,3.96006881,4.74406896,False,18.00000000,1.00000000,False,
