stage,epoch,learning_rate,optimizer_phase,scheduler_phase_epoch,train_loss,validation_sbp_mae,validation_dbp_mae,validation_mean_mae,selected_checkpoint,best_epoch_so_far,epochs_without_improvement,early_stopping_triggered,stop_reason
contrastive,1,0.00012000,contrastive,1,0.81745560,,,,False,,,False,
contrastive,2,0.00024000,contrastive,2,0.66021504,,,,False,,,False,
contrastive,3,0.00036000,contrastive,3,0.55437199,,,,False,,,False,
contrastive,4,0.00048000,contrastive,4,0.46038468,,,,False,,,False,
contrastive,5,0.00060000,contrastive,5,0.39288353,,,,False,,,False,
supervised,1,0.00012000,supervised,1,1.31223885,7.41285855,5.20367593,6.30826724,False,1.00000000,0.00000000,False,
supervised,2,0.00024000,supervised,2,1.22626658,7.33429848,5.14981185,6.24205517,False,2.00000000,0.00000000,False,
supervised,3,0.00036000,supervised,3,1.16325694,7.26519497,5.10425793,6.18472645,False,3.00000000,0.00000000,False,
supervised,4,0.00048000,supervised,4,1.07428341,7.20484526,5.06568840,6.13526683,False,4.00000000,0.00000000,False,
supervised,5,0.00060000,supervised,5,1.02393285,7.22959406,5.08845299,6.15902353,False,4.00000000,1.00000000,False,
supervised,6,0.00059974,supervised,6,0.95960610,7.12994684,5.01996701,6.07495693,False,6.00000000,0.00000000,False,
supervised,7,0.00059895,supervised,7,0.91063168,7.02286636,4.94425899,5.98356267,False,7.00000000,0.00000000,False,
supervised,8,0.00059763,supervised,8,0.84930268,6.94823108,4.88987273,5.91905190,False,8.00000000,0.00000000,False,
supervised,9,0.00059580,supervised,9,0.81656762,6.86924644,4.83022577,5.84973610,False,9.00000000,0.00000000,False,
supervised,10,0.00059344,supervised,10,0.76609655,6.79239927,4.77046178,5.78143052,False,10.00000000,0.00000000,False,
supervised,11,0.00059057,supervised,11,0.72133968,6.72364959,4.71564602,5.71964780,False,11.00000000,0.00000000,False,
supervised,12,0.00058720,supervised,12,0.68593937,6.74662419,4.72725190,5.73693805,False,11.00000000,1.00000000,False,
